Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; raw RCADS scores,Angry Neutral,PO,Separation Anxiety,Separation Anxiety Raw,13,0.2601269932655145,-0.3395204706663102,0.7094321207815024,0.3907175168218579,0.1275406919721442,0.677979279488085,P7,0.4038680921847775,0.13438311184222185,0.4038680921847775,1,P4,True,0.8167256480663352,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,PO,Generalized Anxiety,Generalized Anxiety Raw,13,0.07663070524349308,-0.49526590825577815,0.6021901006318437,0.8034994870581441,0.19024123764163436,0.5335882464483502,P7,0.21760084427877674,-0.04929337249194847,0.21760084427877674,1,P4,True,0.9780801907553272,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,PO,Obsessive Compulsive,Obsessive Compulsive Raw,13,0.02667937314515909,-0.5321281825664398,0.5692960559153009,0.9310567789208964,-0.11700299197190685,0.7034517107925405,P4,-0.1775697482370158,-0.1775697482370158,0.09560270279353317,1,P4,True,0.9887494314917847,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,CP,Social Phobia,Social Phobia Raw,13,0.22150850310386752,-0.3752787993820563,0.688467742637077,0.4670433084145473,0.06344881906474768,0.836851263546061,P8,0.09582311281911592,0.09582311281911592,0.3130367933120645,2,P11; P4,True,0.8676222578540709,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,CP,Panic Disorder,Panic Disorder Raw,13,0.371916446718538,-0.2252213198308401,0.7659441033915612,0.21081019685473842,0.266538653846198,0.3787143022821444,P8,0.11252569589356978,0.11252569589356978,0.4833266139119258,2,P11; P4,True,0.6636613659601907,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,CP,Major Depression,Major Depression Raw,13,0.2576044117377637,-0.3419103632564034,0.7080865657748868,0.3954935529837614,0.31724409532373843,0.29088462616813887,P8,0.1187722931869001,0.1187722931869001,0.39310497876304545,2,P11; P4,True,0.8179776124402891,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,CP,Separation Anxiety,Separation Anxiety Raw,13,0.2857034025730333,-0.31484415488457335,0.7228921903097438,0.34401940999965136,0.2239047703510976,0.4621127433167901,P8,0.08446309913873444,0.08446309913873444,0.4171663238407375,2,P11; P4,True,0.7790432910259625,1.0,1.0,0.9817465616303366,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,CP,Generalized Anxiety,Generalized Anxiety Raw,13,0.2955257930416813,-0.30514665049736506,0.7279747056236829,0.32693714933351165,0.19583656816050599,0.521387571967767,P8,0.09597543445300404,0.09597543445300404,0.4498317278369745,2,P11; P4,True,0.7582666399105336,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,CP,Obsessive Compulsive,Obsessive Compulsive Raw,13,0.40445294773648965,-0.1885503536755331,0.781322404094935,0.17044532249180358,0.3342942627768767,0.2642624483801814,P11,0.12929844914530864,0.12929844914530864,0.4884056407983684,2,P11; P4,True,0.6117993844827438,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,LOT,Social Phobia,Social Phobia Raw,35,-0.046910583211778614,-0.3743056856822056,0.2908832784852369,0.7890110986275851,0.11908482214793834,0.49564373146755625,P25,0.25078359322403965,-0.10402142022463773,0.25078359322403965,1,P25,False,0.9780801907553272,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,LOT,Panic Disorder,Panic Disorder Raw,35,0.0972325049309158,-0.24391755283767963,0.41696827810474835,0.5784407822555797,0.11926761418896255,0.4949775830163293,P8,0.006809435229506597,0.006809435229506597,0.17133118412133444,1,P25,False,0.8959811826921057,1.0,1.0,0.9829942383802484,1.0,1.0
