Variant,Condition,RCADS Scale,N Participants,N Rows,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,Descriptive Only (N < 20),LMM Omnibus_q_bh,LMM Omnibus_q_by,LMM Omnibus_p_holm
P27 omitted,Angry Neutral,Major Depression,13,78,0.6621506177755236,6,0.9952717547674125,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
P27 omitted,Angry Neutral,Separation Anxiety,13,78,4.208739337091629,6,0.6484515940528888,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
P27 omitted,Angry Neutral,Generalized Anxiety,13,78,0.17180979869363,6,0.9999009209323119,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
P27 omitted,Angry Neutral,Obsessive Compulsive,13,78,0.6489570349174301,6,0.9955270916851626,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Angry,Social Phobia,34,204,1.5785237637549017,6,0.9541089267882994,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Angry,Panic Disorder,34,204,0.7917364268819256,6,0.992293408946925,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Angry,Major Depression,34,204,2.359452720342915,6,0.8838536414709616,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Angry,Separation Anxiety,34,204,3.2533969026528666,6,0.7764364354147321,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Angry,Generalized Anxiety,34,204,3.7052275553980962,6,0.7164946561299379,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Angry,Obsessive Compulsive,34,204,5.301965377269653,6,0.5057072493467285,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Fear,Social Phobia,12,72,1.3198682357278244,6,0.9705508517790976,True,,True,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Fear,Panic Disorder,12,72,1.4199324690134176,6,0.9646346816834002,True,,True,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Fear,Major Depression,12,72,4.541703216147766,6,0.603782826836202,True,,True,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Fear,Separation Anxiety,12,72,3.695744827261649,6,0.7177704493545787,True,,True,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Fear,Generalized Anxiety,12,72,2.2825520701175037,6,0.8919657959323019,True,,True,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Fear,Obsessive Compulsive,12,72,6.567239837919715,6,0.3627266682318589,True,,True,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Happy,Social Phobia,34,204,1.9430631971351886,6,0.9248598336341586,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Happy,Panic Disorder,34,204,9.369728494963056,6,0.1538275367070899,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Neutral Happy,Major Depression,34,204,2.1409762642147143,6,0.9062869892343826,True,,False,0.9999009209323119,1.0,1.0
