Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; lateralization,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,0.2772076152741623,-0.06174261853200583,0.558830269048626,0.10691904085657751,0.20358967594058971,0.24077757460740323,P27,0.17410386398287275,0.17410386398287275,0.3668373599155811,2,P20; P27,False,0.20620100736625663,0.9434583563242563,1.0,0.5452345754625381,1.0,1.0
All audit data; lateralization,Neutral Sad,ROT minus LOT,Major Depression,Major Depression Raw,35,0.3940768871144458,0.07002656437962759,0.6428953531273449,0.01916003315714001,0.3100543911930812,0.0698852158791401,P27,0.20788208482395337,0.20788208482395337,0.42159633843178684,2,P20; P27,False,0.06466511190534753,0.29587071842660145,0.7472412931284603,0.447049544916714,1.0,1.0
All audit data; lateralization,Neutral Sad,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,0.6825354753097881,0.45212620692865924,0.8275529574276759,6.2860808535643016e-06,0.3115910141731307,0.06843798092049078,P27,0.3016642648357075,0.3016642648357075,0.7286432322468792,2,P20; P27,False,0.00016757550638746876,0.0007667300651723114,0.00033944836609247226,0.447049544916714,1.0,1.0
All audit data; lateralization,Neutral Sad,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.506485367168897,0.20841625582271534,0.7184659899422109,0.0019053506343826953,0.20347080254042377,0.24105824702567333,P27,0.14699918548129015,0.14699918548129015,0.5752935494992156,2,P20; P27,False,0.011432103806296173,0.05230679521976704,0.08764612918160399,0.5452345754625381,1.0,1.0
All audit data; lateralization,Neutral Sad,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.09582815133574919,-0.24525031495698016,0.41579648451433415,0.5839661806132711,0.2534837515086645,0.14175502436650433,P30,0.14873724139927663,0.05118191773303436,0.14873724139927663,2,P20; P27,False,0.6985499150443062,1.0,1.0,0.5043586854437019,1.0,1.0
All audit data; lateralization,Positive Valence,ROT minus LOT,Social Phobia,Social Phobia Raw,35,0.3292291377605059,-0.004512492538268877,0.5969785009759966,0.053454094095868765,0.3277641213364246,0.05458933344606838,P27,0.2692958023102202,0.2692958023102202,0.36412764709056006,1,P27,False,0.12550091657290927,0.5742207081304528,1.0,0.447049544916714,1.0,1.0
All audit data; lateralization,Positive Valence,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,0.269889840637741,-0.06961815040041656,0.5533666664564639,0.1168908048229409,0.23825226843916128,0.16811956181456728,P8,0.31175660949883505,0.2339787268325781,0.31175660949883505,1,P27,False,0.2104034486812936,0.9626863340450031,1.0,0.5043586854437019,1.0,1.0
All audit data; lateralization,Positive Valence,ROT minus LOT,Major Depression,Major Depression Raw,35,0.3434551858377965,0.01152809197107758,0.6072040380579561,0.04338022202038843,0.07906105619351707,0.6516633869098101,P27,0.011923922287980622,0.011923922287980622,0.37497568297715367,1,P27,False,0.10647872677731707,0.48718600278412816,1.0,0.8378529260268986,1.0,1.0
All audit data; lateralization,Positive Valence,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,0.6663981293008728,0.4282566195117093,0.8179897117746465,1.2413000473145834e-05,0.2893752014624321,0.09177985898222012,P27,0.2484265679021578,0.2484265679021578,0.6962525920627071,1,P27,False,0.00016757550638746876,0.0007667300651723114,0.0006330630241304376,0.447049544916714,1.0,1.0
All audit data; lateralization,Positive Valence,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.5112664358838988,0.21457946225794078,0.7215729825434747,0.0016963323268829032,0.1970946283661069,0.2564356561610894,P27,0.16431097337690725,0.16431097337690725,0.5939604099063596,1,P27,False,0.011432103806296173,0.05230679521976704,0.07972761936349645,0.5452345754625381,1.0,1.0
