Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,All 35 participants,Neutral Sad,ROT,Panic Disorder,Panic Disorder Raw,35,0.1896379862286855,-0.15329630269180985,0.49180436217186196,0.27522587518908387,-0.04046327124323048,0.8174821992445542,P27,-0.08344381449080783,-0.08344381449080783,0.26914674248365356,0.588858208505297,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,ROT,Major Depression,Major Depression Raw,35,0.33329509923191547,5.462144508491466e-05,0.5999099783622538,0.05040163579519788,0.07441868100777675,0.6709332295725705,P27,0.02272899499596856,0.02272899499596856,0.37687033645587037,0.38475564670642015,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,ROT,Separation Anxiety,Separation Anxiety Raw,35,0.5926118751858659,0.32319097893948845,0.7731685616733636,0.00017618879840571014,0.1053827013199802,0.5468467833438515,P27,-0.038326520811588764,-0.038326520811588764,0.6461930042819182,0.006342796742605566,0.03083113080848287,0.01250940468680542,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,ROT,Generalized Anxiety,Generalized Anxiety Raw,35,0.4138464923639194,0.09349397418359787,0.6565467603207671,0.013459972901202034,-0.06617051865346651,0.7056777608165576,P27,-0.1635309543213693,-0.1635309543213693,0.4793573034303491,0.16151967481442442,0.7851164753391519,0.9018181843805363,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,ROT,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.005729030357727946,-0.33832964287564704,0.3281440000234195,0.9739435704460515,-0.040563093307113635,0.8170395331595169,P27,-0.1454503679697349,-0.1454503679697349,0.04990926802666726,0.9739435704460515,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,O,Social Phobia,Social Phobia Raw,35,-0.1218891057791531,-0.4373700618599551,0.220306078554029,0.48547451062863034,-0.057435957852012706,0.7431188891411139,P29,-0.06486317336465706,-0.16779188171362186,-0.06486317336465706,0.7598731470708997,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,O,Panic Disorder,Panic Disorder Raw,35,0.10189481766261704,-0.23948365691701523,0.42085090841914,0.5602673203962719,-0.013016157183137077,0.9408424515190807,P35,-0.09724025834598554,-0.09724025834598554,0.15460831952094423,0.8067849413706316,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,O,Major Depression,Major Depression Raw,35,0.008969188246100754,-0.3252495111626114,0.3411959149383392,0.9592169145243445,-0.01758475449144063,0.9201361467314447,P35,-0.07396862513953377,-0.07396862513953377,0.07854675196827851,0.9739435704460515,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,O,Separation Anxiety,Separation Anxiety Raw,35,0.01758375845280713,-0.31752338638665095,0.3487865093757558,0.9201406559558178,0.08701193311690257,0.6191757108977032,P27,-0.07224259253662026,-0.07224259253662026,0.06492919542008645,0.9739435704460515,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,O,Generalized Anxiety,Generalized Anxiety Raw,35,-0.037110741115943924,-0.36583301912800414,0.29984398183637423,0.8323805868875956,-0.008501565565755868,0.9613415732702579,P29,0.1185122898613884,-0.11567220358478372,0.1185122898613884,0.9666355202565626,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,O,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.23930511212354244,-0.5302643467571011,0.10208224679582528,0.16619161921046183,-0.14873134212608333,0.39382131816016175,P29,-0.10362556366491243,-0.2941435830242906,-0.10362556366491243,0.47863186332613006,1.0,1.0,0.9451711635843881,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Social Phobia,Social Phobia Raw,35,-0.03764721310928071,-0.36629825171473435,0.29935498026419544,0.8299925419949017,0.0770961879236063,0.6597931152109423,P27,-0.15931786494576267,-0.15931786494576267,0.08021811420919239,0.9666355202565626,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Panic Disorder,Panic Disorder Raw,35,0.028415772967060424,-0.30774494951409403,0.35826969761838917,0.8712765507180813,-0.0154213166626298,0.9299359113835276,P27,-0.06197611606486124,-0.06197611606486124,0.1055218535767973,0.9739435704460515,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Major Depression,Major Depression Raw,35,0.11884969614141788,-0.22323848790562045,0.43487256878028957,0.4965012710907888,0.16656279454292564,0.33891332671393193,P27,-0.008873063773817035,-0.008873063773817035,0.22965784229838715,0.7605976918837616,1.0,1.0,0.9124935671603224,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Separation Anxiety,Separation Anxiety Raw,35,0.07908858411821704,-0.26103787396195516,0.4017466938706875,0.6515497662150064,-0.0733406637564727,0.6754381765011488,P27,-0.21722988036224783,-0.21722988036224783,0.12944456296271872,0.8851242107071784,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Generalized Anxiety,Generalized Anxiety Raw,35,0.18541670054577092,-0.15756574887780878,0.48848030370884715,0.2862505180234083,0.16223820954650783,0.3517782842934667,P27,0.006886722153042153,0.006886722153042153,0.27396005455995565,0.588858208505297,1.0,1.0,0.9124935671603224,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.07221828173572807,-0.39593603455419607,0.2674652124453625,0.6801403284533604,-0.016509890609211163,0.925003621392722,P18,-0.14411161110139453,-0.14411161110139453,-0.023706720462691164,0.8908783876306805,1.0,1.0,0.9689128125656853,1.0,1.0
