Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,P27 omitted,Neutral Sad,LOT,Social Phobia,Social Phobia Raw,34,-0.30291245454838084,-0.5815112763396687,0.039276517539697145,0.08161743169300184,-0.18095529681485126,0.30575929971922966,P20,-0.2363747890458804,-0.3523675506501128,-0.2363747890458804,0.6844799443115858,1.0,1.0,0.6775533358067859,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,LOT,Panic Disorder,Panic Disorder Raw,34,-0.25049745184165817,-0.542691910146665,0.09578189631108332,0.15303230206602433,-0.26416997192974434,0.13111725661106569,P35,-0.3129658359754392,-0.3129658359754392,-0.19298409200861028,0.6844799443115858,1.0,1.0,0.6293628317331152,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,ROT,Social Phobia,Social Phobia Raw,34,0.19458970306779033,-0.15368929795029038,0.4998626570403677,0.27012028686043377,0.2188011548277795,0.21378368391112948,P26,0.29245311535408913,0.10519771470129909,0.29245311535408913,0.6844799443115858,1.0,1.0,0.6532610106512963,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,ROT,Panic Disorder,Panic Disorder Raw,34,-0.08344381449080783,-0.41003909628816715,0.2621182941432455,0.6389429370293902,-0.12127101050575985,0.4944778549503017,P4,-0.024098549353152084,-0.1369457626425769,-0.024098549353152084,0.7938455843864066,1.0,1.0,0.8145563484262464,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,O,Social Phobia,Social Phobia Raw,34,-0.1620847570618571,-0.47425578160430115,0.18629187884262172,0.3597542084662493,-0.11338435194156642,0.5231655621561412,P29,-0.10515464325297753,-0.20910720096952562,-0.10515464325297753,0.6844799443115858,1.0,1.0,0.8145563484262464,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,O,Panic Disorder,Panic Disorder Raw,34,0.07830031820414941,-0.26693336981710836,0.40572308458502243,0.6598177787720436,-0.06488385275467405,0.715434030782603,P35,-0.14341522155812714,-0.14341522155812714,0.1271017464098909,0.7938455843864066,1.0,1.0,0.8565249793449199,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Frontal,Social Phobia,Social Phobia Raw,34,-0.15931786494576267,-0.47205139843633026,0.1890320950501028,0.36812312234206923,0.007507882763698316,0.9663861878606721,P18,-0.04820860880944024,-0.2025064931705723,-0.04820860880944024,0.6844799443115858,1.0,1.0,0.9663861878606721,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Frontal,Panic Disorder,Panic Disorder Raw,34,-0.06197611606486124,-0.39192771564050805,0.28210192927435307,0.7276917856875393,-0.08651180367289873,0.6266187115179368,P35,-0.15391240943359394,-0.15391240943359394,0.012037877192609334,0.7938455843864066,1.0,1.0,0.835491615357249,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,PO,Social Phobia,Social Phobia Raw,34,-0.11316258934365613,-0.43469356160367034,0.2339560704354823,0.5239838090950708,-0.1397385526631197,0.4305737398149755,P4,-0.17798367851476976,-0.17798367851476976,-0.07506798155668695,0.7938455843864066,1.0,1.0,0.7949053658122625,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,PO,Panic Disorder,Panic Disorder Raw,34,-0.19747811128380835,-0.5021125692529229,0.1507550578816502,0.2629340722963811,-0.22369480663992392,0.2034606479878019,P8,-0.28868368129224464,-0.28868368129224464,-0.12304876956609319,0.6844799443115858,1.0,1.0,0.6532610106512963,1.0,1.0
