Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Major Depression,Major Depression Raw,34,0.20788208482395337,-0.14013489866090267,0.5101826606749682,0.2380984487090328,0.24702829752680536,0.15899177028855419,P20,0.3449514928730291,0.14705627991300965,0.3449514928730291,0.5645969848016132,1.0,1.0,0.564949195528902,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,34,0.3016642648357075,-0.040648041421917344,0.5806013622175681,0.08294529043004048,0.2478630904099569,0.1575426843341298,P20,0.24292470239230468,0.24292470239230468,0.3494249655151217,0.4003855044068019,1.0,0.9123981947304453,0.564949195528902,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,34,0.14699918548129015,-0.20116651622351367,0.46218940964031746,0.40676215246767183,0.13120869828061793,0.45950548230802213,P23,0.19959827035544417,0.0948036115903338,0.19959827035544417,0.5645969848016132,1.0,1.0,0.6892582234620332,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,34,0.14432366603838656,-0.2037879671947427,0.460037108530513,0.4154482324213763,0.2311961288236091,0.18831639850963397,P20,0.036640759782381016,0.036640759782381016,0.19655317297325456,0.5645969848016132,1.0,1.0,0.564949195528902,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Social Phobia,Social Phobia Raw,35,-0.2626652257805813,-0.5479485822354562,0.0773521267053397,0.12740319555511959,-0.1061652423866054,0.5438567487619376,P27,0.0006901595934747304,-0.30314840784577723,0.0006901595934747304,0.1698709274068261,0.5271452758464137,0.5963959934640344,0.7537573048761045,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,-0.2312101597116405,-0.5240766085086751,0.11055461659701057,0.18142778600038478,-0.1005922582305485,0.5653179786570783,P27,-0.047574071072234714,-0.28703107732221433,-0.047574071072234714,0.21771334320046173,0.675610371408619,0.5963959934640344,0.7537573048761045,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Major Depression,Major Depression Raw,35,-0.28307483565319663,-0.5631932692121935,0.055397566970418255,0.09939933224400574,-0.009425428407412176,0.957144238756572,P27,0.09503049793807948,-0.3101962888213777,0.09503049793807948,0.1698709274068261,0.5271452758464137,0.5963959934640344,0.9857572348602208,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,-0.6348347543278783,-0.7990393417719884,-0.3825108651055734,4.2004390213527126e-05,-0.17573277490385888,0.3126017897768642,P27,-0.1495859768278176,-0.6678734073449204,-0.1495859768278176,0.00025202634128116276,0.0007820908334540729,0.0004620482923487984,0.6252035795537284,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.3883796263479412,-0.638931690323166,-0.0633295876699307,0.021134201859199505,0.11406267134055789,0.5141229296386916,P27,0.18519881541812916,-0.4382322579718447,0.18519881541812916,0.06340260557759853,0.19675164265478362,0.19020781673279555,0.7537573048761045,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.004212460127425377,-0.3294966277728637,0.336985947931317,0.9808396511359687,0.003131186150022807,0.9857572348602208,P27,0.11983501338001712,-0.04163028356307841,0.11983501338001712,0.9808396511359687,1.0,1.0,0.9857572348602208,1.0,1.0
