Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; T scores,Neutral Happy,O,Generalized Anxiety,Generalized Anxiety T,35,0.1082600244001014,-0.23340721747613524,0.4261328550386439,0.5358911179459764,0.14166229447782017,0.4169326330446631,P4,0.22771333342480593,0.0307058729143149,0.22771333342480593,0.8453057128874474,1.0,1.0,0.96834456555666,1.0,1.0
All 35 participants; T scores,Neutral Happy,O,Obsessive Compulsive,Obsessive Compulsive T,35,0.10464751433863048,-0.23685911834026302,0.4231377957506319,0.5496629333567952,0.11154621057665734,0.5235090815859708,P29,0.03058891519657899,0.03058891519657899,0.15847711231566997,0.8453057128874474,1.0,1.0,0.9841700300559924,1.0,1.0
All 35 participants; T scores,Neutral Happy,Frontal,Social Phobia,Social Phobia T,35,0.10418337937726706,-0.2373019940690321,0.4227524855806362,0.5514443157565759,0.030711004686720632,0.8609763625201828,P20,-0.005682374128254911,-0.005682374128254911,0.15803150389769471,0.8453057128874474,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,Frontal,Panic Disorder,Panic Disorder T,35,0.053606901806444694,-0.2847260790593984,0.3800638658265722,0.7597227341604291,0.11624112793049395,0.5060654849124755,P8,0.18966556321963896,-0.05001909261328974,0.18966556321963896,0.9239871091140355,1.0,1.0,0.9841700300559924,1.0,1.0
All 35 participants; T scores,Neutral Happy,Frontal,Major Depression,Major Depression T,35,-0.026696101132639788,-0.35676869458082183,0.30930211363405696,0.8790075914447023,-0.05360284647562098,0.7597403767705209,P11,-0.08054602908250885,-0.08054602908250885,0.02155062974287733,0.9705992979946071,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,Frontal,Separation Anxiety,Separation Anxiety T,35,-0.1753690075143271,-0.480532685751785,0.16767675361709222,0.3136204119967388,-0.24798230132177315,0.1509029043717795,P20,-0.3369636453351679,-0.3369636453351679,-0.11578170431173417,0.7476796565147554,1.0,1.0,0.7528498093073327,1.0,1.0
All 35 participants; T scores,Neutral Happy,Frontal,Generalized Anxiety,Generalized Anxiety T,35,-0.011844763809702695,-0.3437345103635305,0.3226754538886667,0.9461582585112001,-0.006055147775890922,0.9724608896632891,P27,0.05995758605834856,-0.0694660787757182,0.05995758605834856,0.9723072696212857,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,Frontal,Obsessive Compulsive,Obsessive Compulsive T,35,0.17130544305784115,-0.17174552943220717,0.47730415087178196,0.32514055004051556,0.06283299203368672,0.7199096223854817,P11,0.08935946164302262,0.08935946164302262,0.2288631447991453,0.7476796565147554,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,PO,Social Phobia,Social Phobia T,35,0.1019844619749277,-0.23939826472082462,0.420925447106086,0.5599204942503017,0.03211333366784942,0.8546941766214895,P20,-0.010136177123327175,-0.010136177123327175,0.15809616001306948,0.8453057128874474,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,PO,Panic Disorder,Panic Disorder T,35,0.25330426208490486,-0.08731257914188872,0.5408925667773551,0.14204691632681338,0.3705361862481726,0.0284393595637819,P20,0.20121241487114291,0.20121241487114291,0.30508563348431533,0.6392111234706602,1.0,1.0,0.39080128014952276,1.0,1.0
All 35 participants; T scores,Neutral Happy,PO,Major Depression,Major Depression T,35,0.06006385568274766,-0.2787624175991072,0.385592355749062,0.7317886814023096,0.08657841956926217,0.6209296174486979,P27,-0.008569277221389032,-0.008569277221389032,0.12800430172338337,0.9211326059609491,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,PO,Separation Anxiety,Separation Anxiety T,35,0.17405341784420225,-0.16899531105558024,0.47948834381327,0.3173216942407965,-0.05532560969466513,0.7522563794347701,P27,0.05770738978687638,0.05770738978687638,0.21433555194003887,0.7476796565147554,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,PO,Generalized Anxiety,Generalized Anxiety T,35,0.16140693303698803,-0.1816079974639783,0.4694049804201814,0.35428455106312434,0.17742991157261773,0.30787696868748343,P27,0.07489744777520504,0.07489744777520504,0.22654881788760095,0.7553951423357717,1.0,1.0,0.8523026095631938,1.0,1.0
All 35 participants; T scores,Neutral Happy,PO,Obsessive Compulsive,Obsessive Compulsive T,35,0.23888384812261468,-0.1025243767379629,0.5299430975511688,0.16696111595253932,0.20332473826631212,0.24140342064360937,P20,0.17496109693606166,0.17496109693606166,0.2857982904364089,0.6678444638101573,1.0,1.0,0.8277474059300411,1.0,1.0
