Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants,Neutral Angry,CP,Major Depression,Major Depression Raw,35,0.19136159292181523,-0.15154934256779354,0.49315909145212605,0.270804949299851,0.06105426759428186,0.7275327946115779,P25,0.02608232052721905,0.02608232052721905,0.23566443446883317,0.7108273625444959,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,CP,Separation Anxiety,Separation Anxiety Raw,35,0.08912330473707675,-0.2515956386809606,0.4101872735944342,0.6106632082688566,-0.013528860304592051,0.9385165715092536,P27,0.18658465232306795,0.0035451447015437277,0.18658465232306795,0.8555444119083815,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,CP,Generalized Anxiety,Generalized Anxiety Raw,35,0.15978849327778727,-0.1832140072187849,0.4681087331135758,0.3591948442146004,0.04279121334763787,0.8071735455299649,P27,0.2316521408582447,0.10909570006476779,0.2316521408582447,0.7606479053956244,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,CP,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.16575288761123833,-0.17728634796788198,0.47287920360726904,0.34130048301778115,0.04967199847081633,0.7768962364364088,P30,0.24324290781242222,0.10894838549218888,0.24324290781242222,0.7606479053956244,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,LOT,Social Phobia,Social Phobia Raw,35,0.250605155808527,-0.09017194570527245,0.5388505144987841,0.1464895197884311,0.2498253521240357,0.1477917106934293,P20,0.1609973698257866,0.1609973698257866,0.2994660874870243,0.5780340161155546,1.0,1.0,0.7408551343847037,1.0,1.0
All 35 participants,Neutral Happy,LOT,Panic Disorder,Panic Disorder Raw,35,0.30555249451359484,-0.030833667006057077,0.579764878619336,0.07426339100326322,0.4068963919424156,0.015274207671225434,P7,0.3613756941731144,0.25107399643627654,0.3613756941731144,0.49040454861723204,1.0,1.0,0.27493573808205785,1.0,1.0
All 35 participants,Neutral Happy,LOT,Major Depression,Major Depression Raw,35,-0.014992158632205843,-0.3465075221379413,0.31985239570342666,0.9318811269922692,-0.027432217006647386,0.8756968837119573,P27,-0.141789363957753,-0.141789363957753,0.05836613353665931,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,LOT,Separation Anxiety,Separation Anxiety Raw,35,0.30003516282142356,-0.03690094818170072,0.5757181372197739,0.07991724948368055,0.04400439825388362,0.8018138062545277,P27,0.13048185861348435,0.13048185861348435,0.3711564168423478,0.49040454861723204,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.13532414686929073,-0.20726948548881005,0.4483516872882582,0.4382872421015309,0.09139182983187558,0.6015727453707312,P27,-0.02712146792906449,-0.02712146792906449,0.23954074793934305,0.8262747003947434,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.1797821883955702,-0.16324463495133915,0.48402964880350324,0.3014031835431444,0.1806125101990428,0.2991388253434057,P20,0.08264906698223556,0.08264906698223556,0.22020569511964908,0.7233676405035465,1.0,1.0,0.9677962075942814,1.0,1.0
All 35 participants,Neutral Happy,ROT,Social Phobia,Social Phobia Raw,35,0.29646230030132753,-0.04081673512230319,0.5730903613148867,0.08375277945354655,0.12849364653934384,0.46195663153872113,P27,0.08014566458382,0.08014566458382,0.325198743850038,0.49040454861723204,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,ROT,Panic Disorder,Panic Disorder Raw,35,0.21818349939828866,-0.12408513876731271,0.5140537618078561,0.20797672716512067,0.08375614187409944,0.6323979031815732,P27,-0.040002325363375724,-0.040002325363375724,0.31698250528367966,0.6454450153400296,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,ROT,Major Depression,Major Depression Raw,35,0.3292497143458148,-0.004489414772297338,0.59699335430714,0.05343828426478058,0.013083057341631827,0.9405389309428918,P27,-0.04935327516057078,-0.04935327516057078,0.3591652513083738,0.4372223258027502,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,ROT,Separation Anxiety,Separation Anxiety Raw,35,0.6088160961790916,0.3457090244705036,0.7831687708801206,0.00010410545561822416,-0.13244042192916428,0.44819795384349037,P27,-0.11219760912502866,-0.11219760912502866,0.6622170029522363,0.00624632733709345,0.036059721168797805,0.0185307711000439,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,ROT,Generalized Anxiety,Generalized Anxiety Raw,35,0.4794142521072639,0.1739601236446595,0.7007127288214963,0.0035683687268506644,0.009351722122331454,0.9574790642843027,P27,-0.013037211842038418,-0.013037211842038418,0.5653745401441631,0.07136737453701328,0.41200012222724125,0.6137594210183143,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,ROT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.049873094866704104,-0.28816272470487586,0.37685627437978764,0.7760159685613118,-0.04639848567761068,0.7912632198942352,P30,0.10514813621747815,0.016691836965942133,0.10514813621747815,0.9462356992894889,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,O,Social Phobia,Social Phobia Raw,35,0.16072794546347335,-0.18228199312570084,0.4688613245483307,0.3563396317943764,0.19955133522667495,0.2504357022013421,P4,0.21851142723328576,0.11762712522204438,0.21851142723328576,0.7606479053956244,1.0,1.0,0.9591154552391824,1.0,1.0
All 35 participants,Neutral Happy,O,Panic Disorder,Panic Disorder Raw,35,0.2611169422429309,-0.07900426239467548,0.5467843274867153,0.12974454140800587,0.3596420821688527,0.03383953706321863,P24,0.29884053019575196,0.23055108460882404,0.29884053019575196,0.5780340161155546,1.0,1.0,0.4216344935846281,1.0,1.0
All 35 participants,Neutral Happy,O,Major Depression,Major Depression Raw,35,0.05709192473785264,-0.2815105513586376,0.3830506673336247,0.7446061853464344,0.021101705389728758,0.9042306327852233,P27,-0.0034476182924680163,-0.0034476182924680163,0.08846640086831517,0.928849892856241,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,O,Separation Anxiety,Separation Anxiety Raw,35,0.1632096208329198,-0.17981699801736065,0.4708472352537936,0.34886312374308864,0.0068356346802149305,0.9689128125656853,P27,0.0685452203623189,0.0685452203623189,0.19753307952548743,0.7606479053956244,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,O,Generalized Anxiety,Generalized Anxiety Raw,35,0.13976843602838554,-0.20293005226583224,0.45196370945398784,0.42325131246444014,0.12809025452405506,0.46337542487399264,P4,0.23229159132734936,0.06320700940995033,0.23229159132734936,0.8191960886408518,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,O,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.10956581948755167,-0.23215735439723748,0.4272137515311331,0.5309542163481747,0.07301356795280455,0.676807287621443,P29,0.02731696888694335,0.02731696888694335,0.16758373589841358,0.8396877820000367,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Social Phobia,Social Phobia Raw,35,0.11118135782485519,-0.23060945219092305,0.42854978846216873,0.524876869819312,0.03805658821001331,0.8281712604645066,P20,-0.005953057051690967,-0.005953057051690967,0.17013148189578417,0.8396877820000367,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Panic Disorder,Panic Disorder Raw,35,0.04463225180807593,-0.2929718219460199,0.37234076966271995,0.7990434794000129,0.10950549630160976,0.5311817981599188,P8,0.1985745136803981,-0.06733560317909199,0.1985745136803981,0.9462356992894889,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Major Depression,Major Depression Raw,35,-0.007400935248198336,-0.33980939562948176,0.3266512410592302,0.9663433306192254,-0.02124238342566028,0.9035951327587423,P8,0.04507148090576381,-0.0588429436758084,0.04507148090576381,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
