Variant,Condition,ROI,RCADS Scale,N,Partial Pearson r,Partial Pearson p,Degrees of Freedom,Covariates,Partial Pearson q (BH-FDR),Partial Pearson q (BY-FDR),Partial Pearson p (Holm)
All 35 participants,Neutral Sad,O,Separation Anxiety,35,-0.058711107313660804,0.7455253220780036,31,Age; Sex,0.8946303864936043,1.0,1.0
All 35 participants,Neutral Sad,O,Generalized Anxiety,35,-0.0774804371189976,0.6682328873127381,31,Age; Sex,0.8653375519157759,1.0,1.0
All 35 participants,Neutral Sad,O,Obsessive Compulsive,35,-0.30938894357528185,0.07976517513075734,31,Age; Sex,0.531767834205049,1.0,1.0
All 35 participants,Neutral Sad,Frontal,Social Phobia,35,-0.021193951481904463,0.9068057986372222,31,Age; Sex,0.9773954715850299,1.0,1.0
All 35 participants,Neutral Sad,Frontal,Panic Disorder,35,0.05085162189726863,0.7786809207939076,31,Age; Sex,0.9101465307980738,1.0,1.0
All 35 participants,Neutral Sad,Frontal,Major Depression,35,0.13434070285961455,0.4560537218977109,31,Age; Sex,0.803836542970733,1.0,1.0
All 35 participants,Neutral Sad,Frontal,Separation Anxiety,35,0.1165603218194491,0.518293912935108,31,Age; Sex,0.825600923259464,1.0,1.0
All 35 participants,Neutral Sad,Frontal,Generalized Anxiety,35,0.19699272602056278,0.2718493186737444,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Sad,Frontal,Obsessive Compulsive,35,-0.06804964046555416,0.7067094516090868,31,Age; Sex,0.8801611973331155,1.0,1.0
All 35 participants,Neutral Sad,PO,Social Phobia,35,-0.07916523974163998,0.6614421403075965,31,Age; Sex,0.8653375519157759,1.0,1.0
All 35 participants,Neutral Sad,PO,Panic Disorder,35,-0.09338938421357795,0.6052068170890726,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Neutral Sad,PO,Major Depression,35,0.002297698565709996,0.9898748582614584,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Neutral Sad,PO,Separation Anxiety,35,-0.06500891541410408,0.7192743073867176,31,Age; Sex,0.8867765433534874,1.0,1.0
All 35 participants,Neutral Sad,PO,Generalized Anxiety,35,-0.001199937352459009,0.9947122040192603,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Neutral Sad,PO,Obsessive Compulsive,35,0.021535939903104363,0.905308682925897,31,Age; Sex,0.9773954715850299,1.0,1.0
All 35 participants,Neutral Sad,CP,Social Phobia,35,-0.2201147384340162,0.21837088064642587,31,Age; Sex,0.6898668454023591,1.0,1.0
